ZONA,Provincia,CodigodeProvincia,Canton,CodigodeCanton,Parroquia,CodigodeParroquia,CodigoInstitucion,NombreInstitucion,TipodeEducacion,NivelEducacion,Sostenimiento,ZonaINEC,RegimenEscolar,Jurisdiccion,Modallidad,Jornada,Tenenciadelinmueble,FormaAcceso,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Estudiantes_Docentes
ZONA 5,GUAYAS,9,PEDRO CARBO,914,PEDRO CARBO,91450,09H04545,ESCUELA DE EDUCACION BASICA TERESA ALARCON DE DUARTE,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,1,2,19,20,39,19.5
ZONA 5,LOS RIOS,12,BABA,1202,GUARE,120251,12H00448,ESCUELA DE EDUCACION BASICA BENJAMIN FRANKLIN,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,4,3,7,74,88,162,23.14285714
ZONA 4,MANABI,13,BOLIVAR,1302,MEMBRILLO,130251,13H00828,ESCUELA DE EDUCACION BASICA CESAR CORONEL GARCIA,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,6,10,16,16
ZONA 7,LOJA,11,PUYANGO,1110,VICENTINO,111055,11H01363,ESCUELA DE EDUCACION BASICA FLORA OCHOA LUDEÑA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,3,5,8,8
ZONA 1,ESMERALDAS,8,SAN LORENZO,805,SAN LORENZO,80550,08H02256,UNIDAD EDUCATIVA ELOY ALFARO,Educación Regular,EGB y Bachillerato,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Nocturna,Prestado,Terrestre,5,10,15,86,55,141,9.4
ZONA 8,GUAYAS,9,GUAYAQUIL,901,TARQUI,90112,09H01705,UNIDAD EDUCATIVA FISCAL REPÚBLICA DE FILIPINAS,Educación Regular,EGB y Bachillerato,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,No conoce,Terrestre,42,12,54,813,853,1666,30.85185185
ZONA 6,AZUAY,1,NABON,104,NABON,10450,01B00045,CECIB DE EDUCACIÓN BÁSICA  EFRAÍN NAULA,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,4,2,6,38,39,77,12.83333333
ZONA 3,CHIMBORAZO,6,GUAMOTE,606,GUAMOTE,60650,06H00957,COMUNIDAD PULL SEGUNDO MANUEL LASSO (S/N),Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,No conoce,Terrestre,2,1,3,22,23,45,15
ZONA 8,GUAYAS,9,GUAYAQUIL,901,TARQUI,90112,09H01568,ESCUELA DE EDUCACION BASICA FISCAL EDUARDO ESTRELLA AGUIRRE,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,38,7,45,651,651,1302,28.93333333
ZONA 4,MANABI,13,PICHINCHA,1311,SAN SEBASTIAN,131152,13H03088,UNIDAD EDUCATIVA EUGENIO ESPEJO,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,22,13,35,244,300,544,15.54285714
ZONA 3,PASTAZA,16,ARAJUNO,1604,CURARAY,160451,16H00201,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGUE SAN CARLOS,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,4,6,10,10
ZONA 2,ORELLANA,22,LORETO,2204,AVILA,220451,22H00484,ESCUELA DE EDUCACION BASICA ADNER FERNANDO ANDRADE GUERRA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,15,12,27,27
ZONA 6,AZUAY,1,PAUTE,105,GUARAINAG,10556,01H01187,UNIDAD EDUCATIVA SAN PABLO DE GUARAINAG,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,11,7,18,94,86,180,10
ZONA 6,AZUAY,1,OÑA,110,SAN FELIPE DE OÑA,11050,01H01435,ESCUELA DE EDUCACIÓN BÁSICA MANUEL FERNANDEZ DE CORDOVA,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,5,9,14,14
ZONA 4,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO DE LOS TSACHILAS,2301,SAN JACINTO DE BUA,230154,23H00565,REPUBLICA DE NICARAGUA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,14,18,32,32
ZONA 5,SANTA ELENA,24,SANTA ELENA,2401,MANGLARALTO,240154,24H00138,GABRIELA MISTRAL,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,18,14,32,32
ZONA 5,GUAYAS,9,SALITRE,919,JUNQUILLAL,91953,09H05499,ESCUELA DE EDUCACIÓN BÁSICA JOSE MARÍA VELASCO IBARRA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,14,5,19,19
ZONA 4,MANABI,13,MONTECRISTI,1309,MONTECRISTI,130902,13H02720,"ESCUELA DE  EDUCACIÓN BÁSICA “5 DE JUNIO”,",Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,1,2,22,27,49,24.5
ZONA 4,MANABI,13,EL CARMEN,1304,EL CARMEN,130401,23H00052,ACUERDO DE CARTAGENA,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,12,21,33,16.5
ZONA 3,TUNGURAHUA,18,AMBATO,1801,IZABAMBA,180156,18H00222,UNIDAD EDUCATIVA MAYOR GALO MIÑO JARRIN,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Laico,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,24,11,35,173,260,433,12.37142857
ZONA 6,CAÑAR,3,CAÑAR,303,INGAPIRCA,30356,03H00419,ESCUELA DE EDUCACION BASICA LUIS MARTINEZ C,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,19,18,37,18.5
ZONA 4,MANABI,13,SUCRE,1314,CHARAPOTO,131453,13H03500,ESTHER SANTOS VEGA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,10,9,19,19
ZONA 8,GUAYAS,9,GUAYAQUIL,901,PUNA,90157,09H02827,ESCUELA DE EDUCACIÓN BÁSICA FISCAL CACIQUE TUMBALA,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,5,3,8,87,98,185,23.125
ZONA 5,GUAYAS,9,EMPALME,908,GUAYAS (PUEBLO NUEVO),90851,09H03869,ESCUELA DE EDUCACION BASICA ESTERO CHICO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Cesión de derechos,Terrestre,2,0,2,25,23,48,24
ZONA 5,GUAYAS,9,MILAGRO,910,CAMILO ANDRADE,91001,09H04229,ESCUELA DE EDUCACION BASICA HECTOR LARA ZAMBRANO,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,11,0,11,156,148,304,27.63636364
ZONA 4,MANABI,13,SANTA ANA,1313,HONORATO VASQUEZ,131352,13H03327,ELOY ALFARO,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,1,3,35,28,63,21
ZONA 3,COTOPAXI,5,SIGCHOS,507,SIGCHOS,50750,05H00728,ESCUELA DE EDUCACIÓN BÁSICA AUGUSTO MEYTHALER,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,6,4,10,10
ZONA 3,COTOPAXI,5,PUJILI,504,ANGAMARCA,50451,05H00527,ESCUELA DE EDUCACION BASICA MANUEL MARIA SANCHEZ,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,1,2,31,18,49,24.5
ZONA 9,PICHINCHA,17,QUITO,1701,EL CONDADO,170110,17H00196,NUEVE DE AGOSTO,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,8,2,10,123,114,237,23.7
ZONA 2,PICHINCHA,17,PUERTO QUITO,1709,PUERTO QUITO,170950,17H02627,JULIO VITERI GAMBOA,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,4,11,15,15
ZONA 1,ESMERALDAS,8,MUISNE,803,MUISNE,80350,08H01571,ESCUELA  DE EDUCACION BASICA  PEDRO JOSE CHAVEZ,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,2,1,3,3
ZONA 9,PICHINCHA,17,QUITO,1701,JIPIJAPA,170114,17H01088,UNIDAD EDUCATIVA PARTICULAR MARISTA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Religioso,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,53,36,89,656,1233,1889,21.2247191
ZONA 7,LOJA,11,LOJA,1101,TAQUIL (MIGUEL RIOFRIO),110160,11H00434,ESCUELA DE EDUCACION BASICA ULPIANO MOSCOSO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,10,11,21,21
ZONA 3,CHIMBORAZO,6,RIOBAMBA,601,PUNIN,60158,06B00083,CONSOLATA 92,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutino y Nocturno,Propio,Terrestre,1,1,2,7,10,17,8.5
ZONA 9,PICHINCHA,17,QUITO,1701,ALANGASI,170151,17H01447,RAFAEL ARMIJOS VALDIVIESO,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,10,1,11,122,132,254,23.09090909
ZONA 7,LOJA,11,CATAMAYO,1103,EL TAMBO,110351,11H00665,ESCUELA DE EDUCACION BASICA DOLORES ORDOÑEZ,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,4,12,16,16
ZONA 2,NAPO,15,TENA,1501,PUERTO MISAHUALLI,150155,15B00080,MANUEL IGNACIO RIVADENEYRA,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,1,1,2,10,10,20,10
ZONA 5,GUAYAS,9,BALAO,903,BALAO,90350,09H05667,ESCUELA DE EDUCACION BASICA SEIS DE DICIEMBRE,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,14,26,40,40
